sequence,frame,matches,ground_truth_distance,estimated_distance,localization_error
P003,99,851,0.19998983974574494,0.4255,0.22551016025425505
P003,100,941,0.15057782089086244,0.4705,0.31992217910913756
P003,101,1121,0.08635116807278265,0.5605,0.47414883192721735
P003,102,1248,0.07207725457827995,0.624,0.55192274542172
P003,103,1102,0.15038556870106679,0.551,0.40061443129893326
P003,104,1202,0.08385016846846992,0.601,0.51714983153153
P003,105,986,0.1784310013107699,0.493,0.3145689986892301
P003,106,876,0.23116968224389145,0.438,0.20683031775610855
P003,107,864,0.15467714396607327,0.432,0.2773228560339267
P003,108,1354,0.07061551214570304,0.677,0.606384487854297
P003,109,1115,0.02108854239799718,0.5575,0.5364114576020028
P003,110,1753,0.0012609588100465463,0.8765,0.8752390411899534
P003,111,1023,0.04167383783920083,0.5115,0.46982616216079914
P003,112,1020,0.06354927715726723,0.51,0.4464507228427328
P003,113,1309,0.03322592497771247,0.6545,0.6212740750222875
P003,114,1129,0.13197228502452726,0.5645,0.4325277149754727
P003,115,1199,0.17954783571746297,0.5995,0.41995216428253707
P003,116,1468,0.08197873492697237,0.734,0.6520212650730276
P003,117,1722,0.01355015364593068,0.861,0.8474498463540693
P003,118,1459,0.08751013644379489,0.7295,0.6419898635562051
P003,119,1321,0.17263520104311894,0.6605,0.48786479895688106
P003,120,1415,0.1357947594008989,0.7075,0.5717052405991011
P003,121,1909,0.04609199610033236,0.9545,0.9084080038996677
P003,122,1764,0.06776193875112366,0.882,0.8142380612488763
P003,123,1427,0.15545775314910543,0.7135,0.5580422468508945
P003,124,1263,0.1400623113583357,0.6315,0.49143768864166426
P003,125,1208,0.13718571632198834,0.604,0.46681428367801164
P003,126,1070,0.18115007868171443,0.535,0.35384992131828563
P003,127,971,0.2603740991886563,0.4855,0.2251259008113437
P003,128,871,0.25090227522631686,0.4355,0.18459772477368314
P003,129,838,0.1631048006983276,0.419,0.25589519930167237
P003,130,988,0.13093860429189133,0.494,0.3630613957081087
P003,131,1494,0.04397019229839659,0.747,0.7030298077016034
P003,132,1532,0.009592889087130485,0.766,0.7564071109128695
P003,133,969,0.09283017820443887,0.4845,0.3916698217955611
P003,134,854,0.10262853532443797,0.427,0.324371464675562
P003,135,949,0.11970070977872445,0.4745,0.35479929022127554
P003,136,995,0.12028929777808577,0.4975,0.3772107022219142
P003,137,978,0.16714372956379475,0.489,0.32185627043620524
P003,138,1069,0.12952440545107638,0.5345,0.4049755945489236
P003,139,944,0.09129703333485766,0.472,0.3807029666651423
P003,140,655,0.10756922301309113,0.3275,0.21993077698690888
P003,141,284,0.19258470159849667,0.142,0.05058470159849668
P003,142,261,0.19472943731239387,0.1305,0.06422943731239386
P003,143,574,0.20826757155367212,0.287,0.07873242844632786
P003,144,889,0.20476610885956847,0.4445,0.23973389114043153
P003,145,1140,0.1939175419830634,0.57,0.3760824580169365
P003,146,1497,0.14654545934956997,0.7485,0.6019545406504301
P003,147,1595,0.1269282668264449,0.7975,0.6705717331735551
P003,148,2038,0.04288829744321013,1.0,0.9571117025567899
P003,149,1580,0.12777423521742726,0.79,0.6622257647825728
P003,150,1818,0.0651479326853372,0.909,0.8438520673146628
P004,0,2029,0.11625783997392673,1.0,0.8837421600260733
P004,1,2286,0.11180993993639876,1.0,0.8881900600636012
P004,2,2146,0.1673783398063483,1.0,0.8326216601936517
P004,3,1930,0.14079164875616054,0.965,0.8242083512438394
P004,4,1770,0.10517199810133439,0.885,0.7798280018986656
P004,5,1816,0.08761758100577832,0.908,0.8203824189942217
P004,6,1774,0.10207899341454363,0.887,0.7849210065854564
P004,7,1655,0.12400231293669742,0.8275,0.7034976870633026
P004,8,1624,0.11150815911628566,0.812,0.7004918408837144
P004,9,1363,0.19169194620538793,0.6815,0.48980805379461206
P004,10,1407,0.10526729155268194,0.7035,0.598232708447318
P004,11,1419,0.11398791685748712,0.7095,0.5955120831425129
P004,12,1342,0.1219787211607931,0.671,0.5490212788392069
P004,13,1602,0.03517779393739378,0.801,0.7658222060626063
P004,14,1824,0.04723946340518123,0.912,0.8647605365948188
P004,15,1886,0.11220385665614896,0.943,0.830796143343851
P004,16,1747,0.11153317089340693,0.8735,0.7619668291065931
P004,17,1488,0.20292102596337994,0.744,0.5410789740366201
P004,18,1387,0.20225979073859457,0.6935,0.49124020926140544
P004,19,1189,0.17728639250210032,0.5945,0.4172136074978997
P004,20,949,0.14466049256720526,0.4745,0.3298395074327947
P004,21,885,0.12733989575587476,0.4425,0.3151601042441252
P004,22,648,0.21263524572631262,0.324,0.11136475427368739
P004,23,855,0.1391532909881607,0.4275,0.2883467090118393
P004,24,919,0.08225289392692056,0.4595,0.37724710607307943
P004,25,922,0.17734214352820904,0.461,0.283657856471791
P004,26,655,0.26578641131302966,0.3275,0.061713588686970355
P004,27,314,0.29764242571928723,0.157,0.14064242571928723
P004,28,383,0.2907702170765661,0.1915,0.09927021707656608
P004,29,839,0.22597055831458715,0.4195,0.19352944168541283
P004,30,1310,0.1424554250352982,0.655,0.5125445749647018
P004,31,1452,0.19843642962686686,0.726,0.5275635703731332
P004,32,1454,0.15461761619911982,0.727,0.5723823838008801
P004,33,1160,0.17035525905451804,0.58,0.4096447409454819
P004,34,842,0.13182689603922013,0.421,0.2891731039607799
P004,35,859,0.04842411496809652,0.4295,0.3810758850319035
P004,36,423,0.07065877896459291,0.2115,0.14084122103540708
P004,37,377,0.12080830716966426,0.1885,0.06769169283033574
P004,38,479,0.07751152120807658,0.2395,0.1619884787919234
P004,39,607,0.0843379994241096,0.3035,0.2191620005758904
P004,40,1144,0.01330526430617176,0.572,0.5586947356938282
P004,41,1338,0.058075763398067255,0.669,0.6109242366019327
P004,42,785,0.12729356386775573,0.3925,0.26520643613224426
P004,43,466,0.14296365087069776,0.233,0.09003634912930225
P004,44,403,0.1455786183312647,0.2015,0.05592138166873531
P004,45,473,0.06230242536873968,0.2365,0.17419757463126032
P004,46,482,0.1090393938262663,0.241,0.13196060617373367
P004,47,619,0.08978593459317334,0.3095,0.21971406540682664
P004,48,770,0.14831466055364376,0.385,0.23668533944635625
P004,49,1124,0.13922842101849667,0.562,0.4227715789815034
P004,50,1405,0.07119545997701632,0.7025,0.6313045400229838
P004,51,1688,0.003850141747301145,0.844,0.8401498582526988
P004,52,1470,0.047928978247473594,0.735,0.6870710217525264
P004,53,1570,0.0451655551214349,0.785,0.7398344448785651
P004,54,1459,0.08049845316272553,0.7295,0.6490015468372745
P004,55,1547,0.12402535988732162,0.7735,0.6494746401126783
P004,56,1802,0.14863699555248364,0.901,0.7523630044475164
P004,57,2122,0.10430915924172521,1.0,0.8956908407582748
P004,58,2067,0.07000897686741105,1.0,0.929991023132589
P004,59,2339,0.022936223872475597,1.0,0.9770637761275244
P004,60,2379,0.035664152238825686,1.0,0.9643358477611743
P004,61,2419,0.026032372527260813,1.0,0.9739676274727392
P004,62,2332,0.08491701033394243,1.0,0.9150829896660576
P004,63,2144,0.11681389554849977,1.0,0.8831861044515003
P004,64,2218,0.09999786197065123,1.0,0.9000021380293488
P004,65,2137,0.14703618538115898,1.0,0.852963814618841
P004,66,1843,0.20390849132583416,0.9215,0.7175915086741658
P004,67,1978,0.12107988456425045,0.989,0.8679201154357495
P004,68,2227,0.15960643125891036,1.0,0.8403935687410896
P004,69,2055,0.23801915239995455,1.0,0.7619808476000455
P004,70,2007,0.21234514659332035,1.0,0.7876548534066796
P004,71,2210,0.12726409267580002,1.0,0.8727359073242
P004,72,2443,0.07494783878750066,1.0,0.9250521612124993
P004,73,2889,0.000696409804147146,1.0,0.9993035901958529
P004,74,2712,0.03583336521195418,1.0,0.9641666347880458
P004,75,2367,0.08411144685674513,1.0,0.9158885531432549
P004,76,2764,0.026790995961835762,1.0,0.9732090040381642
P004,77,2787,0.04181102443207224,1.0,0.9581889755679278
P004,78,2702,0.03353151588488896,1.0,0.966468484115111
P004,79,2119,0.10619889967537985,1.0,0.8938011003246201
P004,80,2479,0.0414240298026677,1.0,0.9585759701973323
P004,81,2728,0.0015041182108755924,1.0,0.9984958817891244
P004,82,2683,0.016216099618142087,1.0,0.9837839003818579
P004,83,2684,0.03725414762949732,1.0,0.9627458523705027
P004,84,2091,0.13322449505626052,1.0,0.8667755049437394
P004,85,1816,0.21233357475982298,0.908,0.6956664252401771
P004,86,1866,0.16784596084137177,0.933,0.7651540391586282
P004,87,1755,0.22908471842807665,0.8775,0.6484152815719233
P004,88,1733,0.20269401888941904,0.8665,0.663805981110581
P004,89,1668,0.25413027007181077,0.834,0.5798697299281892
P004,90,1524,0.3333217010746819,0.762,0.4286782989253181
P004,91,1658,0.26552021986741486,0.829,0.563479780132585
P004,92,1670,0.22801157019778506,0.835,0.6069884298022149
P004,93,1640,0.21745553049660937,0.82,0.6025444695033906
P004,94,1478,0.16884455852117727,0.739,0.5701554414788227
P004,95,1345,0.1461698171171485,0.6725,0.5263301828828515
P004,96,1280,0.12063632053746816,0.64,0.5193636794625318
P004,97,1082,0.18500725929145814,0.541,0.3559927407085419
P004,98,1003,0.132603396301764,0.5015,0.36889660369823596
P004,99,760,0.07816578105540702,0.38,0.301834218944593
P004,100,429,0.09658649813493893,0.2145,0.11791350186506107
P004,101,206,0.06356081405002252,0.103,0.03943918594997747
P004,102,97,0.10102153606113615,0.05,0.051021536061136144
P004,103,111,0.1240474406791742,0.0555,0.0685474406791742
P004,104,157,0.1379158071492139,0.0785,0.05941580714921389
P004,105,188,0.19611372137142305,0.094,0.10211372137142305
P004,106,249,0.16877698946385694,0.1245,0.04427698946385694
P004,107,318,0.15386508972385143,0.159,0.005134910276148569
P004,108,703,0.23322708989558524,0.3515,0.11827291010441474
P004,109,1018,0.2661573250374591,0.509,0.24284267496254092
P004,110,1001,0.30112439071564695,0.5005,0.199375609284353
P004,111,878,0.20996390573469303,0.439,0.22903609426530697
P004,112,534,0.21557103006600012,0.267,0.051428969933999896
P004,113,474,0.3081617969962854,0.237,0.07116179699628539
P004,114,1076,0.370974138225886,0.538,0.16702586177411405
P004,115,375,0.30036717829664045,0.1875,0.11286717829664045
P004,116,558,0.25423622624512,0.279,0.024763773754880036
P004,117,1255,0.197709837273909,0.6275,0.42979016272609094
P004,118,1604,0.1619736660038197,0.802,0.6400263339961804
P004,119,1944,0.11667776892152651,0.972,0.8553222310784735
P004,120,2152,0.08027679425803118,1.0,0.9197232057419689
P004,121,2273,0.04518707461315337,1.0,0.9548129253868466
P004,122,2223,0.04358467257366212,1.0,0.9564153274263378
P004,123,1881,0.13172760006929635,0.9405,0.8087723999307037
P004,124,1873,0.19073414900503938,0.9365,0.7457658509949606
P004,125,1816,0.20602698499426436,0.908,0.7019730150057357
P004,126,1853,0.12663105793293175,0.9265,0.7998689420670683
P004,127,1697,0.18480529949429644,0.8485,0.6636947005057036
P004,128,1983,0.11855105070081451,0.9915,0.8729489492991855
P004,129,2623,0.03452968537124489,1.0,0.9654703146287551
P004,130,2328,0.08134975006156302,1.0,0.918650249938437
P004,131,2255,0.13633721232341933,1.0,0.8636627876765807
P004,132,2368,0.15069784903583766,1.0,0.8493021509641623
P004,133,2171,0.16264886158384786,1.0,0.8373511384161522
P005,0,1514,0.2775318446677658,0.757,0.4794681553322342
P005,1,1654,0.2557609085950695,0.827,0.5712390914049305
P005,2,1821,0.320753913995974,0.9105,0.589746086004026
P005,3,2074,0.2207859368179325,1.0,0.7792140631820675
P005,4,2332,0.1434434892408772,1.0,0.8565565107591229
P005,5,2224,0.16879193256310357,1.0,0.8312080674368965
P005,6,2480,0.06951578077832343,1.0,0.9304842192216766
P005,7,2823,0.01124936212530413,1.0,0.9887506378746959
P005,8,2383,0.10915132456388539,1.0,0.8908486754361146
P005,9,2839,0.02910357961469126,1.0,0.9708964203853088
P005,10,2344,0.12702583867580333,1.0,0.8729741613241967
P005,11,2895,0.029170579430238878,1.0,0.9708294205697611
P005,12,2420,0.09579702311825417,1.0,0.9042029768817459
P005,13,2188,0.12005217425445606,1.0,0.879947825745544
P005,14,2696,0.03583498638815548,1.0,0.9641650136118445
P005,15,2237,0.0802698536133281,1.0,0.9197301463866719
P005,16,2691,0.016025283881523248,1.0,0.9839747161184768
P005,17,2653,0.0188020885047482,1.0,0.9811979114952518
P005,18,2679,0.010585861729256867,1.0,0.9894141382707431
P005,19,2209,0.09378604461081069,1.0,0.9062139553891893
P005,20,1956,0.11700180687483108,0.978,0.8609981931251689
P005,21,1917,0.113640632715114,0.9585,0.844859367284886
P005,22,2053,0.08201713067208923,1.0,0.9179828693279107
P005,23,1951,0.12185036940406997,0.9755,0.85364963059593
P005,24,2158,0.060096068837930006,1.0,0.93990393116207
P005,25,2256,0.03860555141001409,1.0,0.9613944485899859
P005,26,2026,0.08057210469260451,1.0,0.9194278953073955
P005,27,2227,0.03303788922963399,1.0,0.966962110770366
P005,28,2394,0.00809862265118957,1.0,0.9919013773488105
P005,29,2031,0.1009532867403852,1.0,0.8990467132596148
P005,30,2391,0.03952588503462764,1.0,0.9604741149653724
P005,31,2204,0.07711415115118916,1.0,0.9228858488488109
P005,32,2035,0.09966864771201246,1.0,0.9003313522879876
P005,33,2145,0.07204928797961865,1.0,0.9279507120203814
P005,34,2379,0.03378191756357456,1.0,0.9662180824364255
P005,35,2088,0.10041821618791558,1.0,0.8995817838120844
P005,36,2499,0.010015667817818345,1.0,0.9899843321821816
P005,37,2136,0.06537287676811089,1.0,0.9346271232318891
P005,38,1684,0.16249240302265963,0.842,0.6795075969773403
P005,39,1851,0.13079421535210506,0.9255,0.7947057846478949
P005,40,1688,0.1902365509413425,0.844,0.6537634490586575
P005,41,1626,0.2101001142175727,0.813,0.6028998857824273
P005,42,1851,0.15125720108852414,0.9255,0.7742427989114758
P005,43,1643,0.23464685047258327,0.8215,0.5868531495274167
P005,44,1772,0.17725345179810828,0.886,0.7087465482018918
P005,45,1681,0.264690666760046,0.8405,0.5758093332399541
P005,46,1512,0.36213858718373726,0.756,0.39386141281626275
P005,47,1552,0.3486646018128464,0.776,0.4273353981871536
P005,48,1534,0.2673815871713446,0.767,0.49961841282865543
P005,49,1675,0.20127272680879357,0.8375,0.6362272731912064
P005,50,1729,0.17208619205520412,0.8645,0.6924138079447959
P005,51,2156,0.09571927178932667,1.0,0.9042807282106733
P005,52,1950,0.16539094321121292,0.975,0.809609056788787
P005,53,2184,0.08793282502476589,1.0,0.9120671749752342
P005,54,2001,0.11753298554097563,1.0,0.8824670144590243
P005,55,2251,0.05381520362101864,1.0,0.9461847963789813
P005,56,2046,0.08460874207722008,1.0,0.9153912579227799
P005,57,2866,0.0036172044326179893,1.0,0.996382795567382
P005,58,2280,0.05968775462888482,1.0,0.9403122453711151
P005,59,1860,0.1359875617702837,0.93,0.7940124382297163
P005,60,1546,0.20604877048783676,0.773,0.5669512295121633
P005,61,1606,0.17633304206001954,0.803,0.6266669579399805
P005,62,1537,0.12508293556255334,0.7685,0.6434170644374466
P005,63,1445,0.10348570142929832,0.7225,0.6190142985707017
P005,64,1619,0.05535226862898548,0.8095,0.7541477313710145
P005,65,1825,0.03175690977491676,0.9125,0.8807430902250832
P005,66,1307,0.13054801852809628,0.6535,0.5229519814719037
P005,67,1371,0.1111346645835995,0.6855,0.5743653354164004
P005,68,1639,0.03956475658305148,0.8195,0.7799352434169485
P005,69,1342,0.10658493467920511,0.671,0.5644150653207949
P005,70,1142,0.16561086880363743,0.571,0.40538913119636255
P005,71,1084,0.12248971574615654,0.542,0.4195102842538435
P005,72,1321,0.05892031368464046,0.6605,0.6015796863153595
P005,73,1329,0.08687877793998289,0.6645,0.5776212220600171
P005,74,1309,0.07366767664287117,0.6545,0.5808323233571288
P005,75,1202,0.11447939136455923,0.601,0.4865206086354408
P005,76,1295,0.02860166800655638,0.6475,0.6188983319934436
P005,77,1234,0.043668683088395444,0.617,0.5733313169116045
P005,78,1058,0.12198374480210722,0.529,0.4070162551978928
P005,79,908,0.21140165638727662,0.454,0.2425983436127234
P005,80,814,0.1631771816647956,0.407,0.24382281833520436
P005,81,727,0.2043066166777106,0.3635,0.15919338332228938
P005,82,629,0.22440301445458855,0.3145,0.09009698554541146
P005,83,644,0.2025888956019767,0.322,0.1194111043980233
P005,84,680,0.10976062750858755,0.34,0.23023937249141246
P005,85,551,0.17740210532963221,0.2755,0.09809789467036781
P005,86,471,0.12504261044564569,0.2355,0.1104573895543543
P005,87,478,0.07253328859310813,0.239,0.16646671140689184
P005,88,607,0.017099144518496562,0.3035,0.2864008554815034
P005,89,564,0.03330178824281197,0.282,0.248698211757188
P005,90,488,0.07452424714626864,0.244,0.16947575285373134
P005,91,534,0.029768927995216948,0.267,0.23723107200478308
P005,92,433,0.1206081164689542,0.2165,0.0958918835310458
P005,93,416,0.12932172129834052,0.208,0.07867827870165947
P005,94,456,0.10308492486837534,0.228,0.12491507513162467
P005,95,461,0.1314984501575022,0.2305,0.09900154984249782
P005,96,545,0.09305805841058257,0.2725,0.17944194158941745
P005,97,532,0.16694654979389453,0.266,0.09905345020610548
P005,98,607,0.1482367489672493,0.3035,0.15526325103275068
P005,99,561,0.2241906973510422,0.2805,0.05630930264895784
P005,100,598,0.16575385363957254,0.299,0.13324614636042745
P005,101,676,0.13642875594233875,0.338,0.20157124405766128
P005,102,668,0.1796435263589398,0.334,0.15435647364106023
P005,103,662,0.19912061252397648,0.331,0.13187938747602354
P005,104,741,0.1901173864783429,0.3705,0.1803826135216571
P005,105,791,0.1775314502872448,0.3955,0.21796854971275523
P005,106,942,0.16871913890664195,0.471,0.30228086109335806
P005,107,1006,0.14805801267111376,0.503,0.35494198732888627
P005,108,942,0.15239870704001374,0.471,0.31860129295998624
P005,109,1126,0.20194679133275492,0.563,0.361053208667245
P005,110,1424,0.19250629390609578,0.712,0.5194937060939042
P005,111,1629,0.15735319772237008,0.8145,0.6571468022776299
P005,112,1838,0.1370028526435154,0.919,0.7819971473564846
P005,113,1693,0.16449003956031574,0.8465,0.6820099604396843
P005,114,1604,0.19252424356272668,0.802,0.6094757564372734
P005,115,1644,0.19247759236261328,0.822,0.6295224076373866
P005,116,1838,0.17295190441221706,0.919,0.746048095587783
P006,0,1123,0.44232921095974975,0.5615,0.11917078904025025
P006,1,1036,0.39223970871586217,0.518,0.12576029128413785
P006,2,723,0.3590277202166515,0.3615,0.0024722797833484633
P006,3,787,0.3226479863522618,0.3935,0.07085201364773824
P006,4,1168,0.28085233043647845,0.584,0.3031476695635215
P006,5,1111,0.24988711181387913,0.5555,0.30561288818612087
P006,6,719,0.29556359124989445,0.3595,0.06393640875010553
P006,7,497,0.30746474170635774,0.2485,0.05896474170635774
P006,8,568,0.39249909253966,0.284,0.10849909253966
P006,9,365,0.4412082011555696,0.1825,0.2587082011555696
P006,10,416,0.42794458329002205,0.208,0.21994458329002206
P006,11,834,0.4869397813149108,0.417,0.0699397813149108
P006,12,1097,0.4405531937019079,0.5485,0.10794680629809211
P006,13,1124,0.41384956188450034,0.562,0.14815043811549972
P006,14,1064,0.34431244949487955,0.532,0.18768755050512048
P006,15,848,0.3503140236673543,0.424,0.07368597633264568
P006,16,739,0.385828340926233,0.3695,0.01632834092623303
P006,17,764,0.323744467493305,0.382,0.05825553250669502
P006,18,921,0.27092676161818896,0.4605,0.18957323838181106
P006,19,1090,0.29792749162425314,0.545,0.2470725083757469
P006,20,1343,0.2540680603703967,0.6715,0.4174319396296033
P006,21,1300,0.30664428183135345,0.65,0.3433557181686466
P006,22,1381,0.22157821259406055,0.6905,0.4689217874059395
P006,23,1411,0.14465610648967453,0.7055,0.5608438935103255
P006,24,1691,0.049267870873318194,0.8455,0.7962321291266818
P006,25,1554,0.0879605152223308,0.777,0.6890394847776692
P006,26,1761,0.03442987133049048,0.8805,0.8460701286695095
P006,27,1604,0.05371361690678868,0.802,0.7482863830932114
P006,28,1448,0.0862130241851826,0.724,0.6377869758148174
P006,29,1774,0.03083567854653855,0.887,0.8561643214534614
P006,30,1496,0.06226617286634131,0.748,0.6857338271336587
P006,31,1355,0.07376260374850488,0.6775,0.6037373962514951
P006,32,997,0.1595212334955221,0.4985,0.3389787665044779
P006,33,1003,0.11323287120932206,0.5015,0.3882671287906779
P006,34,1009,0.15825608095587837,0.5045,0.34624391904412155
P006,35,1376,0.0866409021213221,0.688,0.6013590978786778
P006,36,1283,0.1423623793845186,0.6415,0.4991376206154814
P006,37,1358,0.16837204732799668,0.679,0.5106279526720033
P006,38,1408,0.13642928703706245,0.704,0.5675707129629375
P006,39,1411,0.1466853657660315,0.7055,0.5588146342339685
P006,40,1453,0.14829893665513677,0.7265,0.5782010633448633
P006,41,1869,0.05015167617871369,0.9345,0.8843483238212864
P006,42,2839,0.006508284712820584,1.0,0.9934917152871794
P006,43,1730,0.09441452951748887,0.865,0.7705854704825111
P006,44,1528,0.1564759549076147,0.764,0.6075240450923853
P006,45,1988,0.06152957133137244,0.994,0.9324704286686275
P006,46,2613,0.016920510714166583,1.0,0.9830794892858334
P006,47,2075,0.04560511475963257,1.0,0.9543948852403674
P006,48,1563,0.1440766157616898,0.7815,0.6374233842383101
P006,49,1464,0.16227990880149068,0.732,0.5697200911985093
P006,50,1493,0.13270939902060847,0.7465,0.6137906009793916
P006,51,1327,0.16175039131281188,0.6635,0.5017496086871881
P006,52,1237,0.15165818592256713,0.6185,0.4668418140774329
P006,53,1122,0.20946999096758712,0.561,0.35153000903241294
P006,54,1075,0.2559215206755226,0.5375,0.2815784793244774
P006,55,1343,0.1819227101390482,0.6715,0.4895772898609518
P006,56,1401,0.19614767138855216,0.7005,0.5043523286114479
P006,57,1671,0.13226164746807145,0.8355,0.7032383525319286
P006,58,1476,0.1970804661508215,0.738,0.5409195338491785
P006,59,1527,0.1309232514952386,0.7635,0.6325767485047613
P006,60,1641,0.0808520807762587,0.8205,0.7396479192237413
P006,61,1631,0.07543626177381658,0.8155,0.7400637382261834
P006,62,1969,0.03116484434669627,0.9845,0.9533351556533037
P006,63,1786,0.07308349407138716,0.893,0.8199165059286129
P006,64,1454,0.16857552197008976,0.727,0.5584244780299102
P006,65,1255,0.2531026163858803,0.6275,0.37439738361411967
P006,66,1086,0.20791308337380876,0.543,0.3350869166261913
P006,67,954,0.12246826361071668,0.477,0.3545317363892833
P006,68,803,0.11789679860481468,0.4015,0.28360320139518536
P006,69,603,0.09368900301788098,0.3015,0.20781099698211902
P006,70,300,0.1927875030682938,0.15,0.04278750306829379
P006,71,164,0.2703034118147475,0.082,0.18830341181474747
P006,72,112,0.3245213328021024,0.056,0.2685213328021024
P006,73,165,0.2531427627127172,0.0825,0.17064276271271717
P006,74,199,0.2945312058841157,0.0995,0.19503120588411568
P006,75,422,0.34311643881508846,0.211,0.13211643881508847
P006,76,953,0.41989173041659084,0.4765,0.05660826958340914
P006,77,810,0.33553025901474953,0.405,0.0694697409852505
P006,78,370,0.31324505734778313,0.185,0.12824505734778313
P006,79,282,0.3914163568137403,0.141,0.2504163568137403
P006,80,464,0.4052751275025992,0.232,0.17327512750259919
P006,81,397,0.49980753419068596,0.1985,0.30130753419068596
P006,82,455,0.442087384030218,0.2275,0.21458738403021801
P006,83,576,0.365730440308422,0.288,0.07773044030842202
P006,84,674,0.33083436302256974,0.337,0.006165636977430278
P006,85,961,0.31610729338685256,0.4805,0.16439270661314742
P006,86,1148,0.23542892236138482,0.574,0.33857107763861516
P006,87,1308,0.24164177752028462,0.654,0.41235822247971543
P006,88,1545,0.1738300411714519,0.7725,0.598669958828548
P006,89,1634,0.17028641121333835,0.817,0.6467135887866616
